lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009998886215193948,0.00810853640238444,0.15171402444442114,0.10591706012686093,37.0635986328125,0.04579696369667848,33.7005615234375,1.2133218844731648,6,5948,6
0.00997794446709763,0.008055400848388673,0.07250736877322198,0.04930613562464714,85.99853515625,0.023201233707368374,79.8736572265625,0.5555225849151612,100,3775,100
0.009955660594668054,0.008126425743103027,0.06784695759415627,0.04913070425391197,61.2396240234375,0.018716253340244293,69.830322265625,0.5588667392730713,200,3775,200
0.009933371122565919,0.008004283905029297,0.051183198019862174,0.03562755882740021,75.2410888671875,0.015555640030652285,68.4539794921875,0.5511653423309326,300,3775,300
0.009911076035273796,0.007894396781921387,0.060839283466339114,0.04182188287377357,86.5753173828125,0.01901740124449134,84.844970703125,0.5508122682571411,400,3775,400
0.0098887753171919,0.008020806312561034,0.04773756042122841,0.03322078604251146,85.479736328125,0.014516775030642748,82.11669921875,0.5552594900131226,500,4433,500
0.009866468952637547,0.007683610916137696,0.04460824429988861,0.031152819469571113,86.4288330078125,0.013455424923449755,86.724853515625,0.5571488618850708,600,3775,600
0.009844156925844432,0.007693028450012207,0.06602870225906372,0.04665279518812895,64.1998291015625,0.01937590688467026,61.81640625,0.5583536148071289,700,3775,700
0.009821839220962003,0.0077838897705078125,0.04946107901632786,0.034333642944693564,80.3314208984375,0.015127435512840747,76.6082763671875,0.564316201210022,800,3775,800
0.009799515822054777,0.008676934242248534,0.042341128922998905,0.029893214255571364,81.219482421875,0.012447914341464639,79.8614501953125,0.5625876426696778,900,3775,900
0.00977718671310168,0.008214235305786133,0.046300456114113334,0.03309575188905001,89.910888671875,0.01320470478385687,89.202880859375,0.5575746297836304,1000,3775,1000
0.009754851877995354,0.008431029319763184,0.046345476247370246,0.03253997443243861,78.857421875,0.013805502001196146,72.7813720703125,0.5572926044464112,1100,3775,1100
0.009732511300541468,0.008332967758178711,0.043776506930589675,0.0308787290006876,79.6356201171875,0.012897777464240789,81.3995361328125,0.5545000076293946,1200,3775,1200
0.009710164964458045,0.007624220848083496,0.05005144216120243,0.035550744831562044,89.6270751953125,0.014500697562471031,88.2080078125,0.5576996088027955,1300,3775,1300
0.009687812853374727,0.007843255996704102,0.03580800648778677,0.024865155946463345,78.55224609375,0.010942850774154068,76.568603515625,0.5534227371215821,1400,3775,1400
0.009665454950832103,0.0077637434005737305,0.027214968018233775,0.018665169924497606,94.3115234375,0.008549798047170043,91.8792724609375,0.5556810855865478,1500,3775,1500
0.009643091240280942,0.008814525604248048,0.045608775317668916,0.03179599931463599,75.9735107421875,0.013812776189297438,71.1517333984375,0.5591173887252807,1600,3775,1600
0.009620721705081534,0.007502841949462891,0.03677214737981558,0.025749683473259212,86.834716796875,0.011022463999688625,84.7137451171875,0.5595850467681884,1700,3775,1700
0.009598346328502901,0.008536624908447265,0.04225378837436437,0.0296101663261652,88.519287109375,0.01264362158253789,86.7034912109375,0.5603266000747681,1800,3775,1800
0.009575965093722064,0.0076417684555053714,0.03999333046376705,0.027806841116398574,89.7918701171875,0.012186488742008806,88.19580078125,0.5569635152816772,1900,3775,1900
0.009553577983823325,0.008051919937133788,0.03893612958490848,0.027236347459256648,93.0633544921875,0.011699782498180867,89.7552490234375,0.5563435554504395,2000,3775,2000
0.0095311849817975,0.007474851608276367,0.039721340499818326,0.027434367686510086,67.919921875,0.012286973278969526,69.0643310546875,0.5519688606262207,2100,3775,2100
0.009508786070541123,0.007258749008178711,0.03933914788067341,0.027675842866301537,96.09375,0.011663305619731546,95.6939697265625,0.41094532012939455,2200,3775,2200
0.009486381232855704,0.008104348182678222,0.036085535399615766,0.025123998802155257,80.633544921875,0.010961536131799222,76.7730712890625,0.5592462062835694,2300,3775,2300
0.009463970451446941,0.007417726516723633,0.03755564913153649,0.025901455990970136,85.9466552734375,0.011654193419963122,83.837890625,0.5506854772567749,2400,3775,2400
0.009441553708923918,0.008331489562988282,0.037525144219398496,0.026900762133300303,77.2247314453125,0.010624382365494966,77.001953125,0.5562567710876465,2500,3775,2500
0.009419130987798348,0.007765007019042969,0.0305513359606266,0.02134828455746174,88.1805419921875,0.009203051263466478,87.6800537109375,0.5502421379089355,2600,3775,2600
0.009396702270483696,0.007150912284851074,0.031771876849234104,0.022108021657913923,89.6270751953125,0.00966385523788631,87.6617431640625,0.5554746866226197,2700,3775,2700
0.009374267539294417,0.008645033836364746,0.03463578000664711,0.024143477715551854,87.957763671875,0.010492302244529128,87.078857421875,0.5568090438842773,2800,3775,2800
0.00935182677644513,0.008150529861450196,0.04093481171876192,0.02932524010539055,89.0625,0.0116095713339746,89.6026611328125,0.5572272539138794,2900,3775,2900
